Day,Actual_Daily_Cases,Fitted_Daily_Cases,Segment
10,2,2.0,First Segment
11,0,11.075743366257292,First Segment
12,2,12.602982997183268,First Segment
13,7,14.323156944920868,First Segment
14,11,16.151373668667887,First Segment
15,25,18.135446305885097,First Segment
16,21,20.22435457664224,First Segment
17,23,22.294876595445402,First Segment
18,26,24.457535612051515,First Segment
19,27,26.420144090677837,First Segment
20,44,28.30803841165948,First Segment
21,39,29.874664116398378,First Segment
22,39,31.1240483400166,First Segment
23,34,31.92574595257497,First Segment
24,27,32.202788807999525,First Segment
25,21,31.9272135395031,First Segment
26,24,31.01333063938978,First Segment
27,25,29.51535109425356,First Segment
28,19,27.404565310490852,First Segment
29,27,24.797123952711786,First Segment
30,22,21.75554048501101,First Segment
31,22,18.441454804894192,First Segment
32,23,14.996583111211407,First Segment
33,9,11.609420591063099,First Segment
34,12,8.447636715036992,First Segment
35,9,5.691857769160606,First Segment
36,12,6.631601138475958,Second Segment
37,7,8.7643709352717,Second Segment
38,14,10.896347031571736,Second Segment
39,6,12.588088461004986,Second Segment
40,13,13.504340551252199,Second Segment
41,14,13.275182407614693,Second Segment
42,9,11.883884163718108,Second Segment
43,16,9.523355814811339,Second Segment
44,7,6.6920766593347025,Second Segment
45,0,4.042128606595611,Second Segment
46,2,2.1930237928290808,Second Segment
47,1,1.5818040466454022,Second Segment
