Day,Actual_Daily_Cases,Fitted_Daily_Cases,Segment
13,1,1.0,First Segment
14,1,5.466224287672716,First Segment
15,3,5.757224174886275,First Segment
16,6,5.995597230299246,First Segment
17,7,6.192059390392963,First Segment
18,7,6.319581661385598,First Segment
19,9,6.365928550814189,First Segment
20,11,6.325020491357776,First Segment
21,8,6.175298122661175,First Segment
22,3,5.926385316607352,First Segment
23,7,5.562623715394906,First Segment
24,6,5.104631866372827,First Segment
25,1,4.553434006397808,First Segment
26,3,3.9381298057974163,First Segment
27,2,3.2787730149618994,First Segment
28,1,2.61075477779022,First Segment
29,2,1.9658999189457802,First Segment
30,3,1.381567555412417,First Segment
31,2,0.8869351553711198,First Segment
32,1,0.5125597493691743,First Segment
33,1,1.4080200440029103,Second Segment
34,2,1.5276101445901986,Second Segment
35,3,1.6381562976367263,Second Segment
36,0,1.7206654665799306,Second Segment
37,2,1.77920166613481,Second Segment
38,2,1.7983614015676324,Second Segment
39,2,1.7815353655004742,Second Segment
40,1,1.7190028818374685,Second Segment
41,3,1.6165527712901167,Second Segment
42,0,1.4717263794933046,Second Segment
43,1,1.2949805689906668,Second Segment
44,2,1.0919269718824296,Second Segment
