Day,Actual_Daily_Cases,Fitted_Daily_Cases,Segment
14,2,2.0,First Segment
15,2,2.817040534176371,First Segment
16,3,3.0683536221144116,First Segment
17,3,3.343275554503485,First Segment
18,5,3.6144098339665867,First Segment
19,6,3.894984080037439,First Segment
20,1,4.170444430549445,First Segment
21,5,4.42221157010038,First Segment
22,4,4.660238693239975,First Segment
23,4,4.844887035656981,First Segment
24,5,4.9939504011820475,First Segment
25,5,5.0655786843705926,First Segment
26,7,5.0764361668287705,First Segment
27,6,4.99377740966743,First Segment
28,2,4.832815054118001,First Segment
29,7,4.575135516419806,First Segment
30,7,4.238634099211254,First Segment
31,3,3.8207533037600143,First Segment
32,0,3.345526327305805,First Segment
33,2,2.825573991443335,First Segment
34,0,2.2899702104290185,First Segment
35,4,1.763352536290725,First Segment
36,3,1.2735724409628943,First Segment
37,1,0.8494599299665282,First Segment
38,0,1.8490561175738094,Second Segment
39,2,2.304464598639072,Second Segment
40,4,2.6092320572438155,Second Segment
41,3,2.662565395425986,Second Segment
42,3,2.4123799219832307,Second Segment
43,2,1.9031259736120205,Second Segment
44,0,1.2802067430900195,Second Segment
45,0,0.7281387331584028,Second Segment
46,1,0.4225528454191476,Second Segment
47,0,0.4674816010420102,Second Segment
48,1,0.906669237575926,Second Segment
