Day,Actual_Daily_Cases,Fitted_Daily_Cases,Segment
11,1,1.0,First Segment
12,0,1.3901290328921316,First Segment
13,1,1.489831652419067,First Segment
14,1,1.5918413113275758,First Segment
15,0,1.7018807007455106,First Segment
16,3,1.8131044107769938,First Segment
17,1,1.92917029371392,First Segment
18,6,2.0507445427925326,First Segment
19,1,2.1693621684805287,First Segment
20,2,2.294044619789023,First Segment
21,3,2.409202696567114,First Segment
22,0,2.5208072164144752,First Segment
23,2,2.620603935410223,First Segment
24,4,2.7008945033096055,First Segment
25,2,2.7640507005107935,First Segment
26,3,2.7934888572877696,First Segment
27,2,2.79685969319123,First Segment
28,7,2.7562001202039426,First Segment
29,4,2.681292364603209,First Segment
30,2,2.558265054057202,First Segment
31,2,2.398218374763843,First Segment
32,1,2.1946486555331504,First Segment
33,1,1.9603826740878887,First Segment
34,1,1.6976481001831871,First Segment
35,1,1.0911311786615272,Second Segment
36,1,1.4023682173771732,Second Segment
37,2,1.745558454722044,Second Segment
38,3,2.095359274886931,Second Segment
39,1,2.4228419205974774,Second Segment
40,2,2.690704894191299,Second Segment
41,3,2.8633353708874836,Second Segment
42,2,2.9100056235549516,Second Segment
43,7,2.8143544336546142,Second Segment
44,2,2.5717126166489095,Second Segment
45,0,2.2079057440987384,Second Segment
46,2,1.7564864478279958,Second Segment
