Day,Actual_Daily_Cases,Fitted_Daily_Cases,Segment
9,1,1.0,First Segment
10,0,2.1070440187622417,First Segment
11,0,2.2914767583501767,First Segment
12,0,2.4912476840987914,First Segment
13,1,2.6966176649657214,First Segment
14,4,2.920494519922414,First Segment
15,4,3.150343942166394,First Segment
16,5,3.385450640793927,First Segment
17,5,3.628849926588771,First Segment
18,5,3.854230259817946,First Segment
19,3,4.080610880717195,First Segment
20,3,4.272734464392066,First Segment
21,7,4.440384817711667,First Segment
22,9,4.560934674621976,First Segment
23,2,4.628550005097658,First Segment
24,4,4.6350007231736825,First Segment
25,4,4.566841764399328,First Segment
26,4,4.427176743285727,First Segment
27,3,4.204786886091142,First Segment
28,4,3.911322873856946,First Segment
29,4,3.5455627758421144,First Segment
30,2,3.125870177547739,First Segment
31,0,2.663936019497342,First Segment
32,6,2.1833007513951657,First Segment
33,1,1.7052717386531953,First Segment
34,1,0.8774599448337739,Second Segment
35,1,1.172958197429054,Second Segment
36,1,1.488821789000042,Second Segment
37,1,1.7884804481442984,Second Segment
38,4,2.016654162658753,Second Segment
39,2,2.1241139525379964,Second Segment
40,3,2.075212627639033,Second Segment
41,0,1.8600008864015507,Second Segment
42,0,1.5131979776150501,Second Segment
43,3,1.0930597051773248,Second Segment
44,1,0.6874782148306195,Second Segment
