Day,Actual_Daily_Cases,Fitted_Daily_Cases,Segment
15,1,1.0,First Segment
16,2,2.020399508964598,First Segment
17,1,2.0564436683661746,First Segment
18,4,2.0781243595608245,First Segment
19,1,2.0928884229504945,First Segment
20,0,2.0981528353127707,First Segment
21,7,2.0890784812113345,First Segment
22,1,2.074380785223937,First Segment
23,1,2.043463966641326,First Segment
24,0,2.0037969635285293,First Segment
25,4,1.9493789657568428,First Segment
26,1,1.8818819135985194,First Segment
27,2,1.800448577259779,First Segment
28,1,1.7034425613502506,First Segment
29,3,1.5930820694789958,First Segment
30,1,1.467389678853344,First Segment
31,1,1.3301740821937287,First Segment
32,2,1.1812888839570732,First Segment
33,0,1.0254404654573577,First Segment
34,2,0.8652066332163315,First Segment
35,0,0.7059459397375889,First Segment
36,0,0.5118399184102316,Second Segment
37,1,0.6442734415882185,Second Segment
38,0,0.7830058222872509,Second Segment
39,0,0.9186052670363978,Second Segment
40,2,1.0361754894409643,Second Segment
41,1,1.122150823429159,Second Segment
42,1,1.162304333445789,Second Segment
43,3,1.1479613898872572,Second Segment
44,1,1.0735061134221837,Second Segment
45,0,0.9457998695995968,Second Segment
46,0,0.7746362746835729,Second Segment
47,1,0.5830309388023238,Second Segment
